angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.03,"(292, 264, 269, 269)",0.0,0.25,0.03,0.32,0.24,0.13
0.03,"(289, 259, 272, 272)",0.0,0.24,0.02,0.33,0.26,0.11
0.03,"(305, 281, 258, 258)",0.0,0.09,0.04,0.51,0.1,0.22
0.02,"(307, 285, 251, 251)",0.0,0.12,0.02,0.48,0.12,0.25
0.05,"(310, 283, 247, 247)",0.0,0.17,0.01,0.37,0.24,0.15
0.05,"(309, 282, 249, 249)",0.0,0.2,0.01,0.36,0.26,0.12
0.1,"(299, 267, 257, 257)",0.0,0.2,0.03,0.35,0.21,0.11
0.08,"(300, 275, 248, 248)",0.01,0.27,0.01,0.34,0.16,0.14
0.08,"(294, 269, 255, 255)",0.0,0.14,0.01,0.44,0.15,0.17
0.04,"(302, 278, 252, 252)",0.0,0.15,0.03,0.4,0.24,0.15
0.09,"(295, 270, 250, 250)",0.0,0.11,0.05,0.54,0.16,0.05
0.1,"(303, 282, 242, 242)",0.0,0.05,0.03,0.64,0.12,0.05
0.09,"(300, 280, 244, 244)",0.0,0.08,0.03,0.57,0.19,0.05
0.14,"(290, 272, 250, 250)",0.0,0.17,0.05,0.31,0.14,0.19
0.16,"(289, 273, 248, 248)",0.0,0.09,0.06,0.4,0.2,0.08
0.21,"(291, 274, 244, 244)",0.0,0.13,0.07,0.36,0.12,0.1
0.12,"(290, 272, 244, 244)",0.0,0.17,0.03,0.49,0.13,0.06
0.11,"(289, 272, 244, 244)",0.0,0.15,0.03,0.54,0.14,0.03
0.18,"(288, 277, 247, 247)",0.01,0.13,0.02,0.39,0.17,0.1
0.05,"(293, 285, 248, 248)",0.0,0.1,0.06,0.45,0.23,0.09
0.17,"(284, 275, 250, 250)",0.01,0.23,0.04,0.2,0.17,0.19
0.07,"(284, 279, 246, 246)",0.0,0.19,0.09,0.26,0.26,0.13
0.05,"(288, 284, 245, 245)",0.0,0.12,0.03,0.41,0.33,0.07
0.03,"(288, 285, 246, 246)",0.0,0.07,0.1,0.41,0.18,0.21
0.03,"(287, 284, 247, 247)",0.0,0.09,0.08,0.38,0.24,0.19
0.03,"(287, 283, 249, 249)",0.0,0.08,0.1,0.43,0.23,0.13
0.15,"(277, 271, 256, 256)",0.0,0.15,0.07,0.27,0.27,0.1
0.04,"(286, 282, 250, 250)",0.0,0.08,0.06,0.48,0.17,0.18
0.11,"(278, 271, 256, 256)",0.0,0.13,0.06,0.3,0.3,0.1
0.05,"(280, 274, 256, 256)",0.0,0.17,0.1,0.27,0.27,0.13
0.05,"(293, 285, 247, 247)",0.0,0.08,0.07,0.46,0.2,0.15
0.18,"(282, 273, 252, 252)",0.01,0.16,0.04,0.25,0.23,0.12
0.19,"(285, 272, 250, 250)",0.0,0.16,0.04,0.3,0.19,0.13
0.14,"(286, 274, 250, 250)",0.0,0.15,0.05,0.31,0.27,0.07
0.17,"(286, 271, 252, 252)",0.0,0.18,0.06,0.24,0.25,0.1
0.12,"(286, 272, 253, 253)",0.0,0.16,0.04,0.26,0.22,0.19
0.16,"(288, 272, 252, 252)",0.0,0.13,0.02,0.27,0.28,0.14
0.08,"(292, 271, 250, 250)",0.0,0.13,0.02,0.44,0.29,0.04
0.15,"(289, 273, 250, 250)",0.0,0.15,0.05,0.27,0.21,0.17
0.1,"(290, 274, 249, 249)",0.0,0.09,0.02,0.4,0.28,0.11
0.13,"(286, 274, 252, 252)",0.0,0.17,0.05,0.3,0.2,0.14
0.16,"(294, 275, 245, 245)",0.01,0.16,0.01,0.45,0.19,0.03
0.11,"(291, 276, 247, 247)",0.01,0.1,0.04,0.39,0.26,0.1
0.12,"(293, 273, 248, 248)",0.0,0.18,0.01,0.34,0.26,0.08
0.12,"(297, 274, 244, 244)",0.0,0.1,0.03,0.32,0.41,0.02
